"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count	Population	Age-Adjusted Rate	Crude Rate
	"Lung and Bronchus"	"22030"	"Connecticut"	"09"	"Male"	"M"	"Black or African American"	"2054-5"	1147	2370109	82.6	48.4
	"Lung and Bronchus"	"22030"	"Connecticut"	"09"	"Male"	"M"	"White"	"2106-3"	15934	18836257	79.4	84.6
	"Lung and Bronchus"	"22030"	"Delaware"	"10"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	169669	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Delaware"	"10"	"Female"	"F"	"Black or African American"	"2054-5"	583	1243727	59.5	46.9
	"Lung and Bronchus"	"22030"	"Delaware"	"10"	"Female"	"F"	"White"	"2106-3"	3725	4204706	66.9	88.6
	"Lung and Bronchus"	"22030"	"Delaware"	"10"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	158200	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Delaware"	"10"	"Male"	"M"	"Black or African American"	"2054-5"	714	1117794	99.3	63.9
	"Lung and Bronchus"	"22030"	"Delaware"	"10"	"Male"	"M"	"White"	"2106-3"	4191	4013576	93.3	104.4
	"Lung and Bronchus"	"22030"	"District of Columbia"	"11"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	17	129268	22.6	13.2
	"Lung and Bronchus"	"22030"	"District of Columbia"	"11"	"Female"	"F"	"Black or African American"	"2054-5"	1316	1985307	55.4	66.3
	"Lung and Bronchus"	"22030"	"District of Columbia"	"11"	"Female"	"F"	"White"	"2106-3"	372	1239751	34.4	30.0
	"Lung and Bronchus"	"22030"	"District of Columbia"	"11"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	25	100183	47.6	25.0
	"Lung and Bronchus"	"22030"	"District of Columbia"	"11"	"Male"	"M"	"Black or African American"	"2054-5"	1656	1652044	103.7	100.2
	"Lung and Bronchus"	"22030"	"District of Columbia"	"11"	"Male"	"M"	"White"	"2106-3"	441	1244686	48.6	35.4
	"Lung and Bronchus"	"22030"	"Florida"	"12"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	569	3029035	25.2	18.8
	"Lung and Bronchus"	"22030"	"Florida"	"12"	"Female"	"F"	"Black or African American"	"2054-5"	5671	19240263	37.9	29.5
	"Lung and Bronchus"	"22030"	"Florida"	"12"	"Female"	"F"	"White"	"2106-3"	88090	94168990	60.9	93.5
	"Lung and Bronchus"	"22030"	"Florida"	"12"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	543	2659377	33.9	20.4
	"Lung and Bronchus"	"22030"	"Florida"	"12"	"Male"	"M"	"Black or African American"	"2054-5"	9497	17861137	85.8	53.2
	"Lung and Bronchus"	"22030"	"Florida"	"12"	"Male"	"M"	"White"	"2106-3"	103877	90701923	85.7	114.5
	"Lung and Bronchus"	"22030"	"Georgia"	"13"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	227	1830996	22.1	12.4
	"Lung and Bronchus"	"22030"	"Georgia"	"13"	"Female"	"F"	"Black or African American"	"2054-5"	5791	18818616	41.7	30.8
	"Lung and Bronchus"	"22030"	"Georgia"	"13"	"Female"	"F"	"White"	"2106-3"	25056	38589303	58.8	64.9
	"Lung and Bronchus"	"22030"	"Georgia"	"13"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	315	1748288	37.7	18.0
	"Lung and Bronchus"	"22030"	"Georgia"	"13"	"Male"	"M"	"Black or African American"	"2054-5"	9335	16705197	102.1	55.9
	"Lung and Bronchus"	"22030"	"Georgia"	"13"	"Male"	"M"	"White"	"2106-3"	33633	38427644	100.0	87.5
	"Lung and Bronchus"	"22030"	"Hawaii"	"15"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	2663	6236232	35.0	42.7
	"Lung and Bronchus"	"22030"	"Hawaii"	"15"	"Female"	"F"	"Black or African American"	"2054-5"	19	179818	34.8	10.6
	"Lung and Bronchus"	"22030"	"Hawaii"	"15"	"Female"	"F"	"White"	"2106-3"	1223	1903357	51.6	64.3
	"Lung and Bronchus"	"22030"	"Hawaii"	"15"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	3880	5903372	65.0	65.7
	"Lung and Bronchus"	"22030"	"Hawaii"	"15"	"Male"	"M"	"Black or African American"	"2054-5"	52	252999	48.5	20.6
	"Lung and Bronchus"	"22030"	"Hawaii"	"15"	"Male"	"M"	"White"	"2106-3"	1598	2207496	67.3	72.4
	"Lung and Bronchus"	"22030"	"Idaho"	"16"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	27	143664	29.9	18.8
	"Lung and Bronchus"	"22030"	"Idaho"	"16"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	66305	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Idaho"	"16"	"Female"	"F"	"White"	"2106-3"	4435	8921871	47.1	49.7
	"Lung and Bronchus"	"22030"	"Idaho"	"16"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	22	125045	36.8	17.6
	"Lung and Bronchus"	"22030"	"Idaho"	"16"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	85193	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Idaho"	"16"	"Male"	"M"	"White"	"2106-3"	5358	8969713	66.7	59.7
	"Lung and Bronchus"	"22030"	"Illinois"	"17"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	3710831	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Illinois"	"17"	"Female"	"F"	"Black or African American"	"2054-5"	7473	13438855	63.9	55.6
	"Lung and Bronchus"	"22030"	"Illinois"	"17"	"Female"	"F"	"White"	"2106-3"	46189	66112731	59.4	69.9
	"Lung and Bronchus"	"22030"	"Illinois"	"17"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	3520181	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Illinois"	"17"	"Male"	"M"	"Black or African American"	"2054-5"	9198	11887774	114.5	77.4
	"Lung and Bronchus"	"22030"	"Illinois"	"17"	"Male"	"M"	"White"	"2106-3"	53423	64642622	88.9	82.6
	"Lung and Bronchus"	"22030"	"Indiana"	"18"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	103	621027	34.5	16.6
	"Lung and Bronchus"	"22030"	"Indiana"	"18"	"Female"	"F"	"Black or African American"	"2054-5"	2039	3979092	65.6	51.2
	"Lung and Bronchus"	"22030"	"Indiana"	"18"	"Female"	"F"	"White"	"2106-3"	27129	36811749	62.8	73.7
	"Lung and Bronchus"	"22030"	"Indiana"	"18"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	88	594701	45.2	14.8
	"Lung and Bronchus"	"22030"	"Indiana"	"18"	"Male"	"M"	"Black or African American"	"2054-5"	2563	3682158	114.9	69.6
	"Lung and Bronchus"	"22030"	"Indiana"	"18"	"Male"	"M"	"White"	"2106-3"	33820	35731578	99.6	94.7
	"Lung and Bronchus"	"22030"	"Iowa"	"19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	48	325118	29.2	14.8
	"Lung and Bronchus"	"22030"	"Iowa"	"19"	"Female"	"F"	"Black or African American"	"2054-5"	207	542173	75.1	38.2
	"Lung and Bronchus"	"22030"	"Iowa"	"19"	"Female"	"F"	"White"	"2106-3"	12788	18681169	52.9	68.5
	"Lung and Bronchus"	"22030"	"Iowa"	"19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	56	320085	55.4	17.5
	"Lung and Bronchus"	"22030"	"Iowa"	"19"	"Male"	"M"	"Black or African American"	"2054-5"	318	596889	132.9	53.3
	"Lung and Bronchus"	"22030"	"Iowa"	"19"	"Male"	"M"	"White"	"2106-3"	16817	18087559	87.4	93.0
	"Lung and Bronchus"	"22030"	"Kansas"	"20"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	440005	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Kansas"	"20"	"Female"	"F"	"Black or African American"	"2054-5"	518	1155713	61.0	44.8
	"Lung and Bronchus"	"22030"	"Kansas"	"20"	"Female"	"F"	"White"	"2106-3"	10326	16307887	52.9	63.3
	"Lung and Bronchus"	"22030"	"Kansas"	"20"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	417532	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Kansas"	"20"	"Male"	"M"	"Black or African American"	"2054-5"	739	1184566	114.3	62.4
	"Lung and Bronchus"	"22030"	"Kansas"	"20"	"Male"	"M"	"White"	"2106-3"	13074	15942426	83.4	82.0
	"Lung and Bronchus"	"22030"	"Kentucky"	"21"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	313047	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Kentucky"	"21"	"Female"	"F"	"Black or African American"	"2054-5"	1494	2218546	81.4	67.3
	"Lung and Bronchus"	"22030"	"Kentucky"	"21"	"Female"	"F"	"White"	"2106-3"	23463	25152002	78.1	93.3
	"Lung and Bronchus"	"22030"	"Kentucky"	"21"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	287898	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Kentucky"	"21"	"Male"	"M"	"Black or African American"	"2054-5"	1863	2147110	145.0	86.8
	"Lung and Bronchus"	"22030"	"Kentucky"	"21"	"Male"	"M"	"White"	"2106-3"	31281	24207196	131.3	129.2
	"Lung and Bronchus"	"22030"	"Louisiana"	"22"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	89	453221	32.9	19.6
	"Lung and Bronchus"	"22030"	"Louisiana"	"22"	"Female"	"F"	"Black or African American"	"2054-5"	4290	10009225	51.2	42.9
	"Lung and Bronchus"	"22030"	"Louisiana"	"22"	"Female"	"F"	"White"	"2106-3"	14062	19157719	59.9	73.4
	"Lung and Bronchus"	"22030"	"Louisiana"	"22"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	125	450899	51.0	27.7
	"Lung and Bronchus"	"22030"	"Louisiana"	"22"	"Male"	"M"	"Black or African American"	"2054-5"	7411	9016919	124.8	82.2
	"Lung and Bronchus"	"22030"	"Louisiana"	"22"	"Male"	"M"	"White"	"2106-3"	18896	18616296	100.7	101.5
	"Lung and Bronchus"	"22030"	"Maine"	"23"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	16	94163	39.0	17.0
	"Lung and Bronchus"	"22030"	"Maine"	"23"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	83956	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Maine"	"23"	"Female"	"F"	"White"	"2106-3"	7332	8473210	65.6	86.5
	"Lung and Bronchus"	"22030"	"Maine"	"23"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	17	74899	43.7	22.7
	"Lung and Bronchus"	"22030"	"Maine"	"23"	"Male"	"M"	"Black or African American"	"2054-5"	19	106786	52.4	17.8
	"Lung and Bronchus"	"22030"	"Maine"	"23"	"Male"	"M"	"White"	"2106-3"	8630	8077168	95.9	106.8
	"Lung and Bronchus"	"22030"	"Maryland"	"24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	307	1870832	23.1	16.4
	"Lung and Bronchus"	"22030"	"Maryland"	"24"	"Female"	"F"	"Black or African American"	"2054-5"	4608	10732486	51.4	42.9
	"Lung and Bronchus"	"22030"	"Maryland"	"24"	"Female"	"F"	"White"	"2106-3"	16310	21837793	60.4	74.7
	"Lung and Bronchus"	"22030"	"Maryland"	"24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	407	1715297	37.4	23.7
	"Lung and Bronchus"	"22030"	"Maryland"	"24"	"Male"	"M"	"Black or African American"	"2054-5"	5414	9380024	88.2	57.7
	"Lung and Bronchus"	"22030"	"Maryland"	"24"	"Male"	"M"	"White"	"2106-3"	16971	21086879	79.6	80.5
	"Lung and Bronchus"	"22030"	"Massachusetts"	"25"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	376	2170570	29.8	17.3
	"Lung and Bronchus"	"22030"	"Massachusetts"	"25"	"Female"	"F"	"Black or African American"	"2054-5"	976	3264611	41.1	29.9
	"Lung and Bronchus"	"22030"	"Massachusetts"	"25"	"Female"	"F"	"White"	"2106-3"	30991	37666908	65.0	82.3
	"Lung and Bronchus"	"22030"	"Massachusetts"	"25"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	574	2040291	54.9	28.1
	"Lung and Bronchus"	"22030"	"Massachusetts"	"25"	"Male"	"M"	"Black or African American"	"2054-5"	1263	3034219	75.9	41.6
	"Lung and Bronchus"	"22030"	"Massachusetts"	"25"	"Male"	"M"	"White"	"2106-3"	30288	35190501	83.8	86.1
	"Lung and Bronchus"	"22030"	"Michigan"	"26"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	232	1570013	27.1	14.8
	"Lung and Bronchus"	"22030"	"Michigan"	"26"	"Female"	"F"	"Black or African American"	"2054-5"	5767	10124456	66.5	57.0
	"Lung and Bronchus"	"22030"	"Michigan"	"26"	"Female"	"F"	"White"	"2106-3"	39694	53806090	60.4	73.8
	"Lung and Bronchus"	"22030"	"Michigan"	"26"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	280	1526675	42.3	18.3
	"Lung and Bronchus"	"22030"	"Michigan"	"26"	"Male"	"M"	"Black or African American"	"2054-5"	7231	9161199	117.0	78.9
	"Lung and Bronchus"	"22030"	"Michigan"	"26"	"Male"	"M"	"White"	"2106-3"	46047	52424050	87.4	87.8
	"Lung and Bronchus"	"22030"	"Minnesota"	"27"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	142	1296193	24.2	11.0
	"Lung and Bronchus"	"22030"	"Minnesota"	"27"	"Female"	"F"	"Black or African American"	"2054-5"	357	1619329	52.7	22.0
	"Lung and Bronchus"	"22030"	"Minnesota"	"27"	"Female"	"F"	"White"	"2106-3"	17002	30210008	48.6	56.3
	"Lung and Bronchus"	"22030"	"Minnesota"	"27"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	168	1241817	37.0	13.5
	"Lung and Bronchus"	"22030"	"Minnesota"	"27"	"Male"	"M"	"Black or African American"	"2054-5"	517	1703006	90.0	30.4
	"Lung and Bronchus"	"22030"	"Minnesota"	"27"	"Male"	"M"	"White"	"2106-3"	19382	29644803	67.4	65.4
	"Lung and Bronchus"	"22030"	"Mississippi"	"28"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	27	129426	30.9	20.9
	"Lung and Bronchus"	"22030"	"Mississippi"	"28"	"Female"	"F"	"Black or African American"	"2054-5"	2047	5190364	47.2	39.4
	"Lung and Bronchus"	"22030"	"Mississippi"	"28"	"Female"	"F"	"White"	"2106-3"	6466	8161605	59.8	79.2
	"Lung and Bronchus"	"22030"	"Mississippi"	"28"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	33	117935	58.6	28.0
	"Lung and Bronchus"	"22030"	"Mississippi"	"28"	"Male"	"M"	"Black or African American"	"2054-5"	3751	4615521	122.0	81.3
	"Lung and Bronchus"	"22030"	"Mississippi"	"28"	"Male"	"M"	"White"	"2106-3"	9352	7960175	107.5	117.5
	"Lung and Bronchus"	"22030"	"Missouri"	"29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	644889	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Missouri"	"29"	"Female"	"F"	"Black or African American"	"2054-5"	2722	4755112	68.8	57.2
	"Lung and Bronchus"	"22030"	"Missouri"	"29"	"Female"	"F"	"White"	"2106-3"	25646	32938199	62.4	77.9
	"Lung and Bronchus"	"22030"	"Missouri"	"29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	592755	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Missouri"	"29"	"Male"	"M"	"Black or African American"	"2054-5"	3288	4268941	120.1	77.0
	"Lung and Bronchus"	"22030"	"Missouri"	"29"	"Male"	"M"	"White"	"2106-3"	32713	31699465	99.2	103.2
	"Lung and Bronchus"	"22030"	"Montana"	"30"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	17	51817	47.3	32.8
	"Lung and Bronchus"	"22030"	"Montana"	"30"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	30466	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Montana"	"30"	"Female"	"F"	"White"	"2106-3"	3943	5629392	55.0	70.0
	"Lung and Bronchus"	"22030"	"Montana"	"30"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	39319	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Montana"	"30"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	44045	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"Montana"	"30"	"Male"	"M"	"White"	"2106-3"	4511	5643195	72.8	79.9
	"Lung and Bronchus"	"22030"	"Nebraska"	"31"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	42	212130	39.5	19.8
	"Lung and Bronchus"	"22030"	"Nebraska"	"31"	"Female"	"F"	"Black or African American"	"2054-5"	217	551336	62.3	39.4
	"Lung and Bronchus"	"22030"	"Nebraska"	"31"	"Female"	"F"	"White"	"2106-3"	6365	10694411	49.2	59.5
	"Lung and Bronchus"	"22030"	"Nebraska"	"31"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	39	198812	44.5	19.6
	"Lung and Bronchus"	"22030"	"Nebraska"	"31"	"Male"	"M"	"Black or African American"	"2054-5"	311	555505	116.3	56.0
	"Lung and Bronchus"	"22030"	"Nebraska"	"31"	"Male"	"M"	"White"	"2106-3"	8116	10464629	78.1	77.6
	"Lung and Bronchus"	"22030"	"Nevada"	"32"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	245	1073825	25.3	22.8
	"Lung and Bronchus"	"22030"	"Nevada"	"32"	"Female"	"F"	"Black or African American"	"2054-5"	424	1125265	52.0	37.7
	"Lung and Bronchus"	"22030"	"Nevada"	"32"	"Female"	"F"	"White"	"2106-3"	8080	10632826	70.9	76.0
	"Lung and Bronchus"	"22030"	"Nevada"	"32"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	312	917482	49.8	34.0
	"Lung and Bronchus"	"22030"	"Nevada"	"32"	"Male"	"M"	"Black or African American"	"2054-5"	533	1149654	73.7	46.4
	"Lung and Bronchus"	"22030"	"Nevada"	"32"	"Male"	"M"	"White"	"2106-3"	8606	11130784	82.3	77.3
	"Lung and Bronchus"	"22030"	"New Hampshire"	"33"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	27	172168	31.1	15.7
	"Lung and Bronchus"	"22030"	"New Hampshire"	"33"	"Female"	"F"	"Black or African American"	"2054-5"	16	95096	33.5	16.8
	"Lung and Bronchus"	"22030"	"New Hampshire"	"33"	"Female"	"F"	"White"	"2106-3"	5908	8194630	62.3	72.1
	"Lung and Bronchus"	"22030"	"New Hampshire"	"33"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	24	160374	43.6	15.0
	"Lung and Bronchus"	"22030"	"New Hampshire"	"33"	"Male"	"M"	"Black or African American"	"2054-5"	35	115524	73.5	30.3
	"Lung and Bronchus"	"22030"	"New Hampshire"	"33"	"Male"	"M"	"White"	"2106-3"	6346	7950186	81.9	79.8
	"Lung and Bronchus"	"22030"	"New Jersey"	"34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	644	4350674	22.4	14.8
	"Lung and Bronchus"	"22030"	"New Jersey"	"34"	"Female"	"F"	"Black or African American"	"2054-5"	3911	8863398	51.1	44.1
	"Lung and Bronchus"	"22030"	"New Jersey"	"34"	"Female"	"F"	"White"	"2106-3"	33511	44142025	58.2	75.9
	"Lung and Bronchus"	"22030"	"New Jersey"	"34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	897	4185738	38.8	21.4
	"Lung and Bronchus"	"22030"	"New Jersey"	"34"	"Male"	"M"	"Black or African American"	"2054-5"	4730	7919698	91.4	59.7
	"Lung and Bronchus"	"22030"	"New Jersey"	"34"	"Male"	"M"	"White"	"2106-3"	34255	42146768	78.6	81.3
	"Lung and Bronchus"	"22030"	"New Mexico"	"35"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	37	220560	24.9	16.8
	"Lung and Bronchus"	"22030"	"New Mexico"	"35"	"Female"	"F"	"Black or African American"	"2054-5"	71	306560	33.8	23.2
	"Lung and Bronchus"	"22030"	"New Mexico"	"35"	"Female"	"F"	"White"	"2106-3"	5132	10877698	40.3	47.2
	"Lung and Bronchus"	"22030"	"New Mexico"	"35"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	42	189687	38.2	22.1
	"Lung and Bronchus"	"22030"	"New Mexico"	"35"	"Male"	"M"	"Black or African American"	"2054-5"	155	347185	80.5	44.6
	"Lung and Bronchus"	"22030"	"New Mexico"	"35"	"Male"	"M"	"White"	"2106-3"	6142	10597090	57.9	58.0
	"Lung and Bronchus"	"22030"	"New York"	"36"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1868	9108427	27.1	20.5
	"Lung and Bronchus"	"22030"	"New York"	"36"	"Female"	"F"	"Black or African American"	"2054-5"	9165	24258276	41.2	37.8
	"Lung and Bronchus"	"22030"	"New York"	"36"	"Female"	"F"	"White"	"2106-3"	71654	94364683	59.1	75.9
	"Lung and Bronchus"	"22030"	"New York"	"36"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	3010	8673264	54.2	34.7
	"Lung and Bronchus"	"22030"	"New York"	"36"	"Male"	"M"	"Black or African American"	"2054-5"	10823	20892887	76.1	51.8
	"Lung and Bronchus"	"22030"	"New York"	"36"	"Male"	"M"	"White"	"2106-3"	75005	89777107	81.1	83.5
	"Lung and Bronchus"	"22030"	"North Carolina"	"37"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	190	1242210	31.7	15.3
	"Lung and Bronchus"	"22030"	"North Carolina"	"37"	"Female"	"F"	"Black or African American"	"2054-5"	5294	13518589	43.6	39.2
	"Lung and Bronchus"	"22030"	"North Carolina"	"37"	"Female"	"F"	"White"	"2106-3"	30575	42853802	57.9	71.3
	"Lung and Bronchus"	"22030"	"North Carolina"	"37"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	168	1163510	38.1	14.4
	"Lung and Bronchus"	"22030"	"North Carolina"	"37"	"Male"	"M"	"Black or African American"	"2054-5"	8985	11972220	108.8	75.0
	"Lung and Bronchus"	"22030"	"North Carolina"	"37"	"Male"	"M"	"White"	"2106-3"	40409	41793060	97.0	96.7
	"Lung and Bronchus"	"22030"	"North Dakota"	"38"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	37895	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"North Dakota"	"38"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	38890	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"North Dakota"	"38"	"Female"	"F"	"White"	"2106-3"	1982	3602391	42.8	55.0
	"Lung and Bronchus"	"22030"	"North Dakota"	"38"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	36539	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"North Dakota"	"38"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	54700	Suppressed	Suppressed
	"Lung and Bronchus"	"22030"	"North Dakota"	"38"	"Male"	"M"	"White"	"2106-3"	2739	3635549	70.1	75.3
	"Lung and Bronchus"	"22030"	"Ohio"	"39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	215	1249202	31.2	17.2
	"Lung and Bronchus"	"22030"	"Ohio"	"39"	"Female"	"F"	"Black or African American"	"2054-5"	5598	9811825	64.5	57.1
	"Lung and Bronchus"	"22030"	"Ohio"	"39"	"Female"	"F"	"White"	"2106-3"	48350	65102464	59.2	74.3
	"Lung and Bronchus"	"22030"	"Ohio"	"39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	200	1168898	38.1	17.1
	"Lung and Bronchus"	"22030"	"Ohio"	"39"	"Male"	"M"	"Black or African American"	"2054-5"	7058	8918410	115.7	79.1
	"Lung and Bronchus"	"22030"	"Ohio"	"39"	"Male"	"M"	"White"	"2106-3"	59832	62240563	93.7	96.1
	"Lung and Bronchus"	"22030"	"Oklahoma"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	120	449372	43.3	26.7
	"Lung and Bronchus"	"22030"	"Oklahoma"	"40"	"Female"	"F"	"Black or African American"	"2054-5"	842	1949626	58.4	43.2
	"Lung and Bronchus"	"22030"	"Oklahoma"	"40"	"Female"	"F"	"White"	"2106-3"	14880	18897790	61.7	78.7
	"Lung and Bronchus"	"22030"	"Oklahoma"	"40"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	114	417817	67.1	27.3
	"Lung and Bronchus"	"22030"	"Oklahoma"	"40"	"Male"	"M"	"Black or African American"	"2054-5"	1278	1918361	117.9	66.6
	"Lung and Bronchus"	"22030"	"Oklahoma"	"40"	"Male"	"M"	"White"	"2106-3"	19521	18426252	99.9	105.9
	"Lung and Bronchus"	"22030"	"Oregon"	"41"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	227	1042873	32.7	21.8
	"Lung and Bronchus"	"22030"	"Oregon"	"41"	"Female"	"F"	"Black or African American"	"2054-5"	166	495785	58.2	33.5
	"Lung and Bronchus"	"22030"	"Oregon"	"41"	"Female"	"F"	"White"	"2106-3"	16001	21840826	60.1	73.3
	"Lung and Bronchus"	"22030"	"Oregon"	"41"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	250	930425	51.4	26.9
	"Lung and Bronchus"	"22030"	"Oregon"	"41"	"Male"	"M"	"Black or African American"	"2054-5"	301	564062	110.2	53.4
	"Lung and Bronchus"	"22030"	"Oregon"	"41"	"Male"	"M"	"White"	"2106-3"	16702	21445804	76.3	77.9
	"Lung and Bronchus"	"22030"	"Pennsylvania"	"42"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	321	2083978	25.1	15.4
	"Lung and Bronchus"	"22030"	"Pennsylvania"	"42"	"Female"	"F"	"Black or African American"	"2054-5"	6125	9540248	70.3	64.2
	"Lung and Bronchus"	"22030"	"Pennsylvania"	"42"	"Female"	"F"	"White"	"2106-3"	55130	71632280	55.1	77.0
	"Lung and Bronchus"	"22030"	"Pennsylvania"	"42"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	433	1981412	42.2	21.9
	"Lung and Bronchus"	"22030"	"Pennsylvania"	"42"	"Male"	"M"	"Black or African American"	"2054-5"	6777	8660896	117.0	78.2
	"Lung and Bronchus"	"22030"	"Pennsylvania"	"42"	"Male"	"M"	"White"	"2106-3"	66831	67866470	86.4	98.5
	"Lung and Bronchus"	"22030"	"Rhode Island"	"44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	22	218164	20.9	10.1
	"Lung and Bronchus"	"22030"	"Rhode Island"	"44"	"Female"	"F"	"Black or African American"	"2054-5"	178	497568	56.1	35.8
	"Lung and Bronchus"	"22030"	"Rhode Island"	"44"	"Female"	"F"	"White"	"2106-3"	5236	6353945	63.1	82.4
	"Lung and Bronchus"	"22030"	"Rhode Island"	"44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	40	200331	45.7	20.0
	"Lung and Bronchus"	"22030"	"Rhode Island"	"44"	"Male"	"M"	"Black or African American"	"2054-5"	157	488001	69.4	32.2
	"Lung and Bronchus"	"22030"	"Rhode Island"	"44"	"Male"	"M"	"White"	"2106-3"	5745	5889929	92.2	97.5
